method,axis,level,metric,mean,std,n,unit,availability
proposed,grid_cap_multiplier,0.85,max_queue_vehicle_conservation_error,4.440892098500626e-16,0.0,1,hours,available
proposed,grid_cap_multiplier,0.85,max_queue_energy_conservation_error_kwh,0.0,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,grid_energy_kwh,7380.061745008844,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,peak_grid_import_kwh,1827.0363409827512,0.0,1,kWh_per_period,available
proposed,grid_cap_multiplier,0.85,pv_utilization,1.0,0.0,1,fraction,available
proposed,grid_cap_multiplier,0.85,battery_throughput_kwh,1630.9588142913976,0.0,1,kWh,available
proposed,grid_cap_multiplier,0.85,energy_cost_gbp,1858.5598901480191,0.0,1,GBP,available
proposed,grid_cap_multiplier,0.85,mean_access_min,11.10794591390104,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,p95_access_min,12.134755536071907,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,mean_detour_min,2.5390219866615404,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,p95_detour_min,3.6034482700865222,0.0,1,min,available
proposed,grid_cap_multiplier,0.85,outside_cost_estimate,13.538897993555434,0.0,1,GBP,available
proposed,grid_cap_multiplier,0.85,outside_mae,2.961102006444566,0.0,1,GBP,available
proposed,grid_cap_multiplier,0.85,outside_nll,0.6049021075118888,0.0,1,nll,available
proposed,grid_cap_multiplier,0.85,approx_unilateral_gain,,0.0,0,scaled_local_reward,missing
proposed,grid_cap_multiplier,0.85,centralized_reference_difference,,0.0,0,scaled_reward,missing
proposed,grid_cap_multiplier,0.85,centralized_reference_gap,,0.0,0,scaled_reward_deprecated_non_oracle_alias,missing
proposed,grid_cap_multiplier,0.85,exact_oracle_gap,,0.0,0,scaled_reward,missing
proposed,grid_cap_multiplier,1.0,return,5.560839117587204,0.0,1,scaled_reward,available
proposed,grid_cap_multiplier,1.0,profit_gbp,1770.3637153303566,0.0,1,GBP,available
proposed,grid_cap_multiplier,1.0,welfare_gbp,1770.3637153303566,0.0,1,GBP_weighted_hub_profit,available
proposed,grid_cap_multiplier,1.0,weighted_hub_profit_welfare,1770.3637153303566,0.0,1,GBP_weighted_hub_profit,available
proposed,grid_cap_multiplier,1.0,profit,1770.3637153303566,0.0,1,GBP,available
