method,metric,mean,std,mean_plus_minus_std,n,unit,availability,missing_reason
mappo_no_inference,max_queue_energy_conservation_error_kwh,0.0,0.0,0 ± 0,3,kWh,available,
mappo_no_inference,grid_energy_kwh,7400.068573935144,1.1138989715542165e-12,7400.07 ± 1.1139e-12,3,kWh,available,
mappo_no_inference,peak_grid_import_kwh,1913.251826165929,2.7847474288855413e-13,1913.25 ± 2.78475e-13,3,kWh_per_period,available,
mappo_no_inference,pv_utilization,1.0,0.0,1 ± 0,3,fraction,available,
mappo_no_inference,battery_throughput_kwh,1621.7589948056896,2.7847474288855413e-13,1621.76 ± 2.78475e-13,3,kWh,available,
mappo_no_inference,energy_cost_gbp,1860.1078805736995,0.0,1860.11 ± 0,3,GBP,available,
mappo_no_inference,mean_access_min,11.131804308507974,0.0,11.1318 ± 0,3,min,available,
mappo_no_inference,p95_access_min,12.134098000144595,0.0,12.1341 ± 0,3,min,available,
mappo_no_inference,mean_detour_min,2.5634450220081284,0.0,2.56345 ± 0,3,min,available,
mappo_no_inference,p95_detour_min,3.602979505087246,0.0,3.60298 ± 0,3,min,available,
mappo_no_inference,outside_mae,3.0,0.0,3 ± 0,3,GBP,available,
mappo_no_inference,outside_nll,0.6247354248214292,0.0,0.624735 ± 0,3,nll,available,
mappo_no_inference,approx_unilateral_gain,,,NaN,0,scaled_local_reward,missing,no_finite_values
mappo_no_inference,centralized_reference_difference,2.930509223833912,0.0,2.93051 ± 0,3,scaled_reward,available,
mappo_no_inference,exact_oracle_gap,,,NaN,0,scaled_reward,missing,no_finite_values
ippo,return,13.73607064320995,2.175583928816829e-15,13.7361 ± 2.17558e-15,3,scaled_reward,available,
ippo,profit_gbp,1880.6091320172884,0.0,1880.61 ± 0,3,GBP,available,
ippo,weighted_hub_profit_welfare,1880.6091320172889,0.0,1880.61 ± 0,3,GBP_weighted_hub_profit,available,
ippo,served_requests,322.5414337290296,0.0,322.541 ± 0,3,requests,available,
ippo,outside_share,0.1574813005014508,0.0,0.157481 ± 0,3,fraction,available,
ippo,pending_requests,388.4226129440801,6.961868572213853e-14,388.423 ± 6.96187e-14,3,requests,available,
ippo,admitted_requests,322.5414337290296,0.0,322.541 ± 0,3,requests,available,
ippo,admission_ratio,0.8303878893257558,1.3597399555105182e-16,0.830388 ± 1.35974e-16,3,fraction,available,
ippo,minimum_admission_ratio,0.371989595458107,0.0,0.37199 ± 0,3,fraction,available,
